,MOF,gas,ppm,rep_id,slope,saturation,AUC
0,ZnPc-O-Zn,CO,80,0,0.004715369335603013,3.7941309917640527,4257.816890661679
1,ZnPc-O-Zn,CO,80,1,0.0044035111043691875,3.5596184057434774,3903.307164744473
2,ZnPc-O-Zn,CO,80,2,0.004004591956993892,3.0994248345753563,3214.692185865386
3,ZnPc-O-Zn,CO,40,0,0.010454439154727276,4.751574514518757,5722.453532234443
4,ZnPc-O-Zn,CO,40,1,0.009391327224383796,4.714405747034149,5715.308187967083
5,ZnPc-O-Zn,CO,40,2,0.005904228284641267,3.9832395378600634,4645.664098339779
6,ZnPc-O-Zn,CO,40,3,0.005633855274294211,4.188312221223725,4951.617016214142
7,ZnPc-O-Zn,CO,20,0,0.010145683598442033,5.585745045159468,5562.126104403045
8,ZnPc-O-Zn,CO,20,1,0.007296589065109843,5.647220056087272,5656.748547071774
9,ZnPc-O-Zn,CO,20,2,0.006269115984766741,5.510051857804474,5344.683660393682
10,ZnPc-O-Cu,CO,80,0,0.035367732627478804,3.2487443486964973,3575.2579636458463
11,ZnPc-O-Cu,CO,80,1,0.051202900907527535,4.591016816638474,5325.501963479615
12,ZnPc-O-Cu,CO,80,2,0.042199524706043066,3.957703589520444,4408.964591231645
13,ZnPc-O-Cu,CO,80,3,0.035544727143298906,3.582711507883101,4067.9295455564975
14,ZnPc-O-Cu,CO,40,0,0.03411205408996081,6.645387465949789,9315.4662053055
15,ZnPc-O-Cu,CO,40,1,0.023244460849907594,4.375195609888603,5954.363195706399
16,ZnPc-O-Cu,CO,40,2,0.025217984422817346,4.459285615545045,6104.518836620449
17,ZnPc-O-Cu,CO,40,3,0.02462263286470044,4.561478328299989,6461.928050425384
18,ZnPc-O-Cu,CO,20,0,-0.0020872265623856313,-1.9189390661483847,-1675.2688358142318
19,ZnPc-O-Cu,CO,20,1,-0.0024362566557877305,-2.2275672369463217,-1715.2150501269775
20,ZnPc-O-Cu,CO,20,2,-0.0037538271377398837,-2.4428606843392857,-2271.5155876989847
21,ZnPc-O-Ni,CO,80,0,0.008537534591636928,1.1267701660692095,1484.8217736569104
22,ZnPc-O-Ni,CO,80,1,0.006881205604497729,0.9369243933922152,1232.3614797410632
23,ZnPc-O-Ni,CO,80,2,0.0048973535118893114,0.9116489071554723,1235.4687052749316
24,ZnPc-O-Ni,CO,80,3,0.008218458656920587,1.0516404590465198,1473.856136312977
25,ZnPc-O-Ni,CO,40,0,0.004272269492762367,6.751238264122206,6329.847413948647
26,ZnPc-O-Ni,CO,40,1,0.004297909317116172,5.742493836875299,5387.380936708538
27,ZnPc-O-Ni,CO,40,2,0.0039128784536113384,6.812892475839039,6062.337176581732
28,ZnPc-O-Ni,CO,40,3,0.004038704471709566,7.323680827742326,5728.669835078479
29,ZnPc-O-Ni,CO,20,0,0.0019366853682932666,2.3400306017979404,1873.1408471481932
30,ZnPc-O-Ni,CO,20,1,0.0013783267962507624,1.802151371865484,1687.853166603134
31,ZnPc-O-Ni,CO,20,2,0.0010977613898869962,1.235010024663464,746.7057938953116
32,CuPc-O-Zn,CO,80,0,0.006874290833547572,2.2762494841249725,3161.2907526457357
33,CuPc-O-Zn,CO,80,1,0.007028437052538038,1.5679366499056515,2221.726420959635
34,CuPc-O-Zn,CO,80,2,0.012530877390520676,3.1630901806271505,4524.423378495158
35,CuPc-O-Zn,CO,80,3,0.005302174339568786,1.4463931606347933,2051.386531570918
36,CuPc-O-Zn,CO,40,0,0.0033814155243197174,1.4961345881524013,1799.8592597109664
37,CuPc-O-Zn,CO,40,1,0.0029010681595476487,1.6789819745009678,1966.3322623267834
38,CuPc-O-Zn,CO,40,2,0.0028276174868705583,1.585098842753672,1842.7928554859627
39,CuPc-O-Zn,CO,40,3,0.0026916789931184988,1.6611415890169263,1949.5287028358177
40,CuPc-O-Zn,CO,20,0,0.0056865905581816156,2.29373756195213,2852.7933896773607
41,CuPc-O-Zn,CO,20,1,0.004636909985061179,2.1746418157469667,2619.4546770666975
42,CuPc-O-Cu,CO,80,0,0.054786733088581986,8.932672589056814,14060.657323985635
43,CuPc-O-Cu,CO,80,1,0.05169336659300145,8.260794609902238,12986.049313467394
44,CuPc-O-Cu,CO,80,2,0.05168862039788123,8.232987288146282,12915.67013810728
45,CuPc-O-Cu,CO,80,3,0.05246700887863369,8.419061357473858,13130.093795051345
46,CuPc-O-Cu,CO,40,0,0.009017166286305257,1.6171619876450039,2300.899345855424
47,CuPc-O-Cu,CO,40,1,0.0075785657237782125,1.6952562846310064,2528.1185556010632
48,CuPc-O-Cu,CO,40,2,0.01437759245060884,1.7026419937184116,2488.064592080991
49,CuPc-O-Cu,CO,40,3,0.010969610476861116,2.3228941485907093,3405.468643475476
50,CuPc-O-Cu,CO,20,0,-0.007774440051859094,-5.216569803927791,-5529.632286402879
